wall_time,repeat,step,phase,status,joint_positions_rad,message
2026-09-12 23:39:15,1,reset_object,idle,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",object reset to pick point A
2026-09-12 23:39:15,1,initial,idle,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:17,1,initial,idle,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:18,1,above_a,approach_pick,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:19,1,above_a,approach_pick,complete,"[0.52, 0.63, -0.58, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:19,1,crab,at_pick,start,"[0.52, 0.63, -0.58, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:20,1,crab,at_pick,complete,"[0.53, 1.65, -1.31, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:20,1,pick,grasped,start,"[0.53, 1.65, -1.31, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:21,1,pick,grasped,complete,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",
2026-09-12 23:39:21,1,pick,grasped,grasp_attached,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",visual attachment to gripper_base
2026-09-12 23:39:22,1,lift,carried,start,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",
2026-09-12 23:39:23,1,lift,carried,complete,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:39:23,1,initial_2,carried,start,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:39:25,1,initial_2,carried,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:39:26,1,release_ready,carried,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:39:28,1,release_ready,carried,complete,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, -0.14]",
2026-09-12 23:39:28,1,release,placed,start,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, -0.14]",
2026-09-12 23:39:30,1,release,placed,complete,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",
2026-09-12 23:39:30,1,release,placed,released,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]","visual attachment released at x=0.2457, y=-0.1238, above B at z=0.0400 m"
2026-09-12 23:39:31,1,release,placed,release_settled,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",object fixed directly below release position at z=0.0200 m
2026-09-12 23:39:31,1,initial,complete,start,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",
2026-09-12 23:39:33,1,initial,complete,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:33,1,initial,complete,cycle_passed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]","object xyz=(0.2457, -0.1238, 0.0200), xy_error=0.0006"
2026-09-12 23:39:33,2,reset_object,idle,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",object reset to pick point A
2026-09-12 23:39:34,2,initial,idle,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:36,2,initial,idle,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:36,2,above_a,approach_pick,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:37,2,above_a,approach_pick,complete,"[0.52, 0.63, -0.58, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:38,2,crab,at_pick,start,"[0.52, 0.63, -0.58, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:39,2,crab,at_pick,complete,"[0.53, 1.65, -1.31, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:39,2,pick,grasped,start,"[0.53, 1.65, -1.31, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:40,2,pick,grasped,complete,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",
2026-09-12 23:39:40,2,pick,grasped,grasp_attached,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",visual attachment to gripper_base
2026-09-12 23:39:40,2,lift,carried,start,"[0.53, 1.86, -1.22, 0.0, -0.53, 0.0, -0.14]",
2026-09-12 23:39:41,2,lift,carried,complete,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:39:42,2,initial_2,carried,start,"[0.53, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:39:44,2,initial_2,carried,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:39:44,2,release_ready,carried,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14]",
2026-09-12 23:39:46,2,release_ready,carried,complete,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, -0.14]",
2026-09-12 23:39:47,2,release,placed,start,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, -0.14]",
2026-09-12 23:39:49,2,release,placed,complete,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",
2026-09-12 23:39:49,2,release,placed,released,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]","visual attachment released at x=0.2462, y=-0.1241, above B at z=0.0400 m"
2026-09-12 23:39:49,2,release,placed,release_settled,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",object fixed directly below release position at z=0.0200 m
2026-09-12 23:39:49,2,initial,complete,start,"[-0.48, 1.17, 0.27, 0.0, -1.37, 0.0, 0.12]",
2026-09-12 23:39:51,2,initial,complete,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:52,2,initial,complete,cycle_passed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]","object xyz=(0.2462, -0.1241, 0.0200), xy_error=0.0001"
2026-09-12 23:39:52,3,reset_object,idle,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",object reset to pick point A
2026-09-12 23:39:52,3,initial,idle,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:54,3,initial,idle,complete,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:55,3,above_a,approach_pick,start,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:56,3,above_a,approach_pick,complete,"[0.52, 0.63, -0.58, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:56,3,crab,at_pick,start,"[0.52, 0.63, -0.58, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:57,3,crab,at_pick,complete,"[0.53, 1.65, -1.31, 0.0, 0.0, 0.0, 0.12]",
2026-09-12 23:39:57,3,pick,grasped,start,"[0.53, 1.65, -1.31, 0.0, 0.0, 0.0, 0.12]",
